DATE,WPU029402
9/1/85,116.7
10/1/85,116.7
11/1/85,116.7
12/1/85,116.7
1/1/86,116.9
2/1/86,117
3/1/86,116.9
4/1/86,117.5
5/1/86,117.6
6/1/86,117.9
7/1/86,118.8
8/1/86,118.8
9/1/86,118.4
10/1/86,118.2
11/1/86,118.7
12/1/86,118.9
1/1/87,119.1
2/1/87,119.4
3/1/87,119.6
4/1/87,119.9
5/1/87,120.1
6/1/87,121.1
7/1/87,121.9
8/1/87,121.6
9/1/87,121.5
10/1/87,122
11/1/87,122.4
12/1/87,123.7
1/1/88,122.4
2/1/88,122.5
3/1/88,122.8
4/1/88,123.2
5/1/88,123.5
6/1/88,125.1
7/1/88,129.5
8/1/88,129.4
9/1/88,129.4
10/1/88,131
11/1/88,130.8
12/1/88,131.4
1/1/89,132
2/1/89,133.6
3/1/89,133.3
4/1/89,133.9
5/1/89,134.1
6/1/89,133.4
7/1/89,134.2
8/1/89,134.4
9/1/89,134.7
10/1/89,134.8
11/1/89,135.5
12/1/89,135.5
1/1/90,135.5
2/1/90,135.2
3/1/90,135.6
4/1/90,135.7
5/1/90,135.7
6/1/90,136
7/1/90,137.6
8/1/90,137.9
9/1/90,138.3
10/1/90,138
11/1/90,138
12/1/90,138.4
1/1/91,138.4
2/1/91,138.7
3/1/91,139.2
4/1/91,137.2
5/1/91,141.1
6/1/91,140.7
7/1/91,140.5
8/1/91,140.8
9/1/91,141.1
10/1/91,141.2
11/1/91,141.1
12/1/91,141.4
1/1/92,141.7
2/1/92,141.5
3/1/92,141.3
4/1/92,140
5/1/92,139.9
6/1/92,140.1
7/1/92,140.2
8/1/92,140
9/1/92,139.5
10/1/92,141.3
11/1/92,141
12/1/92,141.3
1/1/93,141.8
2/1/93,141.8
3/1/93,142.4
4/1/93,143.3
5/1/93,143.4
6/1/93,143.5
7/1/93,143.8
8/1/93,144.7
9/1/93,144.9
10/1/93,145.3
11/1/93,144.4
12/1/93,145.3
1/1/94,145.3
2/1/94,146.4
3/1/94,147.4
4/1/94,147.3
5/1/94,147.2
6/1/94,147
7/1/94,146.9
8/1/94,146.4
9/1/94,146.3
10/1/94,144.1
11/1/94,143.8
12/1/94,144
1/1/95,143.9
2/1/95,144.2
3/1/95,144.1
4/1/95,144.6
5/1/95,144.8
6/1/95,145.1
7/1/95,145.2
8/1/95,145.2
9/1/95,145.2
10/1/95,145.9
11/1/95,146.9
12/1/95,147.7
1/1/96,147.6
2/1/96,152
3/1/96,153.6
4/1/96,153.9
5/1/96,154.6
6/1/96,155
7/1/96,156
8/1/96,155.6
9/1/96,155.7
10/1/96,155.1
11/1/96,155.7
12/1/96,155.8
1/1/97,156.1
2/1/97,156.1
3/1/97,156.4
4/1/97,155.9
5/1/97,156.1
6/1/97,155.8
7/1/97,155.2
8/1/97,155.2
9/1/97,155.2
10/1/97,155.1
11/1/97,154.7
12/1/97,155.1
1/1/98,155.3
2/1/98,155.2
3/1/98,155
4/1/98,155
5/1/98,155
6/1/98,154.9
7/1/98,154.8
8/1/98,154.7
9/1/98,154.8
10/1/98,154.3
11/1/98,153.9
12/1/98,154.3
1/1/99,154.2
2/1/99,154
3/1/99,153.8
4/1/99,153.8
5/1/99,153.6
6/1/99,153.6
7/1/99,153.5
8/1/99,152.4
9/1/99,152.6
10/1/99,152.6
11/1/99,152.4
12/1/99,152.5
1/1/00,152.5
2/1/00,152.4
3/1/00,152.4
4/1/00,152.3
5/1/00,152.4
6/1/00,152.5
7/1/00,152.4
8/1/00,152.4
9/1/00,152.4
10/1/00,152.4
11/1/00,152.6
12/1/00,152.6
1/1/01,155.9
2/1/01,156.3
3/1/01,156.2
4/1/01,156.7
5/1/01,156.9
6/1/01,156.8
7/1/01,156.8
8/1/01,157
9/1/01,157.3
10/1/01,157.4
11/1/01,157.6
12/1/01,157.7
1/1/02,157
2/1/02,156.9
3/1/02,157
4/1/02,157.2
5/1/02,157.1
6/1/02,156.8
